OBJECTNUMMER;PROJECTNAAM;Clusternaam;Cluster_ID;Gebiednaam;Gebied_ID;Aantal_woningen_max;Typologie;Ingreep;HGS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Alfadriehoek";"Haven-Stad";"H";"Haven-Stad 3 - Alfadriehoek-Minervahaven noord";"H3";5205;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.848607 52.40015,4.848905 52.400429,4.858644 52.396083,4.858297 52.395681,4.84495 52.395623,4.845225 52.396205,4.845548 52.396767,4.845906 52.397302,4.846386 52.397928,4.846875 52.3985,4.84744 52.399093,4.848011 52.399638,4.848607 52.40015))";"POLYGON((52.40015 4.848607,52.400429 4.848905,52.396083 4.858644,52.395681 4.858297,52.395623 4.84495,52.396205 4.845225,52.396767 4.845548,52.397302 4.845906,52.397928 4.846386,52.3985 4.846875,52.399093 4.84744,52.399638 4.848011,52.40015 4.848607))";4.851802;52.398019;
2;"Amstel III";"Amstel AMC";"A";"Amstel AMC 3 - Amstel III e.o.";"A3";10556;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.958184 52.299491,4.955216 52.298506,4.955958 52.297572,4.956291 52.2977,4.957099 52.296821,4.951371 52.294808,4.939548 52.307938,4.94312 52.309118,4.947941 52.310766,4.958184 52.299491))";"POLYGON((52.299491 4.958184,52.298506 4.955216,52.297572 4.955958,52.2977 4.956291,52.296821 4.957099,52.294808 4.951371,52.307938 4.939548,52.309118 4.94312,52.310766 4.947941,52.299491 4.958184))";4.948871;52.30278;
3;"Joan Muyskenweg";"Amstel AMC";"A";"Amstel AMC 1 - A2-entree/Amstelkwartier";"A1";1500;"Gemengde stadsbuurt";"Infra aanpassing";"Deels";"POLYGON((4.912067 52.338552,4.91284 52.337407,4.912639 52.337248,4.91339 52.336124,4.913679 52.336205,4.915744 52.333207,4.915159 52.333051,4.91555 52.332493,4.916117 52.332636,4.916919 52.33159,4.914792 52.330942,4.9141 52.330777,4.912502 52.330576,4.912361 52.33182,4.912295 52.331926,4.912227 52.331967,4.912098 52.33202,4.911893 52.332043,4.91189 52.332629,4.912239 52.332791,4.912261 52.332817,4.912137 52.334084,4.911928 52.335441,4.911836 52.335787,4.911655 52.336202,4.911399 52.33661,4.911232 52.336728,4.911118 52.336761,4.910874 52.336792,4.91064 52.336787,4.910432 52.336811,4.910251 52.336871,4.909738 52.337254,4.909403 52.337622,4.909135 52.337544,4.909125 52.337477,4.909157 52.337287,4.909343 52.336709,4.909433 52.336181,4.909431 52.335692,4.909465 52.33548,4.90941 52.335195,4.908233 52.335352,4.907579 52.335787,4.90779 52.336496,4.907861 52.336987,4.908448 52.337675,4.910538 52.338563,4.911107 52.338723,4.911579 52.338778,4.911799 52.338786,4.911951 52.338701,4.912067 52.338552))";"POLYGON((52.338552 4.912067,52.337407 4.91284,52.337248 4.912639,52.336124 4.91339,52.336205 4.913679,52.333207 4.915744,52.333051 4.915159,52.332493 4.91555,52.332636 4.916117,52.33159 4.916919,52.330942 4.914792,52.330777 4.9141,52.330576 4.912502,52.33182 4.912361,52.331926 4.912295,52.331967 4.912227,52.33202 4.912098,52.332043 4.911893,52.332629 4.91189,52.332791 4.912239,52.332817 4.912261,52.334084 4.912137,52.335441 4.911928,52.335787 4.911836,52.336202 4.911655,52.33661 4.911399,52.336728 4.911232,52.336761 4.911118,52.336792 4.910874,52.336787 4.91064,52.336811 4.910432,52.336871 4.910251,52.337254 4.909738,52.337622 4.909403,52.337544 4.909135,52.337477 4.909125,52.337287 4.909157,52.336709 4.909343,52.336181 4.909433,52.335692 4.909431,52.33548 4.909465,52.335195 4.90941,52.335352 4.908233,52.335787 4.907579,52.336496 4.90779,52.336987 4.907861,52.337675 4.908448,52.338563 4.910538,52.338723 4.911107,52.338778 4.911579,52.338786 4.911799,52.338701 4.911951,52.338552 4.912067))";4.912254;52.334674;
4;"IJ-plein";"IJ-oevers";"I";"IJ-oevers 2 - Noordelijke IJ-oevers oost";"I2";550;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.912526 52.380982,4.912503 52.381035,4.917901 52.384893,4.91835 52.385152,4.919314 52.381795,4.912526 52.380982))";"POLYGON((52.380982 4.912526,52.381035 4.912503,52.384893 4.917901,52.385152 4.91835,52.381795 4.919314,52.380982 4.912526))";4.9159135;52.38306;
5;"Bedrijventerrein Osdorp";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 1 - Nieuw-West";"B1";1900;"Groen-blauw wonen";"Transformatie";"Nee";"POLYGON((4.781451 52.360098,4.781812 52.360423,4.782198 52.360694,4.78238 52.360881,4.782871 52.361208,4.783442 52.361528,4.784006 52.361791,4.784704 52.362047,4.785411 52.362274,4.786239 52.362478,4.78734 52.362693,4.788785 52.360039,4.782841 52.358846,4.782541 52.358889,4.780875 52.359552,4.781451 52.360098))";"POLYGON((52.360098 4.781451,52.360423 4.781812,52.360694 4.782198,52.360881 4.78238,52.361208 4.782871,52.361528 4.783442,52.361791 4.784006,52.362047 4.784704,52.362274 4.785411,52.362478 4.786239,52.362693 4.78734,52.360039 4.788785,52.358846 4.782841,52.358889 4.782541,52.359552 4.780875,52.360098 4.781451))";4.784835;52.3607625;
6;"Reimerswaalbuurt";"Ontwikkelbuurten";"B";"Ontwikkelbuurten 1 - Nieuw-West";"B1";380;"Groen-blauw wonen";"Verdichting";"Nee";"POLYGON((4.789292 52.360074,4.787824 52.362788,4.792034 52.363611,4.792544 52.362746,4.791262 52.362482,4.792251 52.360692,4.789292 52.360074))";"POLYGON((52.360074 4.789292,52.362788 4.787824,52.363611 4.792034,52.362746 4.792544,52.362482 4.791262,52.360692 4.792251,52.360074 4.789292))";4.790189;52.3618355;
7;"Rand Piet Wiedijkpark";"Overig";"O";"Overig";"O";550;"Groen-blauw wonen";"Groen-sportpark";"Ja";"POLYGON((4.815553 52.356568,4.816786 52.356801,4.819194 52.352321,4.818163 52.352227,4.817652 52.353263,4.817359 52.353201,4.815553 52.356568))";"POLYGON((52.356568 4.815553,52.356801 4.816786,52.352321 4.819194,52.352227 4.818163,52.353263 4.817652,52.353201 4.817359,52.356568 4.815553))";4.8173785;52.354507;
9;"Tuijnwijck";"Overig";"O";"Overig";"O";200;"Gemengde stadsbuurt";"Verdichting";"Nee";"POLYGON((4.929945 52.359053,4.930724 52.359689,4.930883 52.359764,4.931841 52.360049,4.932439 52.359328,4.932693 52.358939,4.932914 52.35854,4.93052 52.35803,4.929945 52.359053))";"POLYGON((52.359053 4.929945,52.359689 4.930724,52.359764 4.930883,52.360049 4.931841,52.359328 4.932439,52.358939 4.932693,52.35854 4.932914,52.35803 4.93052,52.359053 4.929945))";4.9314345;52.3590325;
10;"Rangeerterrein Science Park";"Overig";"O";"Overig";"O";4000;"Gemengde stadsbuurt";"Infra aanpassing";"Nee";"POLYGON((4.940766 52.357024,4.94244 52.357019,4.943821 52.356933,4.946606 52.355826,4.949512 52.354585,4.950227 52.354218,4.951269 52.354099,4.956631 52.350748,4.960277 52.349097,4.959522 52.348342,4.94923 52.35261,4.940107 52.356526,4.940766 52.357024))";"POLYGON((52.357024 4.940766,52.357019 4.94244,52.356933 4.943821,52.355826 4.946606,52.354585 4.949512,52.354218 4.950227,52.354099 4.951269,52.350748 4.956631,52.349097 4.960277,52.348342 4.959522,52.35261 4.94923,52.356526 4.940107,52.357024 4.940766))";4.950197;52.352676;
11;"Weespertrekvaart zuid";"Amstel AMC";"A";"Amstel AMC 1 - A2-entree/Amstelkwartier";"A1";1200;"Gemengde stadsbuurt";"Transformatie";"Nee";"POLYGON((4.929736 52.338705,4.933074 52.338083,4.938725 52.337093,4.938727 52.336912,4.938687 52.336626,4.9386 52.33644,4.938493 52.336291,4.938376 52.336176,4.938154 52.336019,4.937903 52.335877,4.936924 52.33545,4.936075 52.33515,4.935705 52.335551,4.935137 52.335596,4.934236 52.335562,4.928712 52.336591,4.929736 52.338705))";"POLYGON((52.338705 4.929736,52.338083 4.933074,52.337093 4.938725,52.336912 4.938727,52.336626 4.938687,52.33644 4.9386,52.336291 4.938493,52.336176 4.938376,52.336019 4.938154,52.335877 4.937903,52.33545 4.936924,52.33515 4.936075,52.335551 4.935705,52.335596 4.935137,52.335562 4.934236,52.336591 4.928712,52.338705 4.929736))";4.9337245;52.3369205;
