OBJECTNUMMER;Naam;Straatnaam;Doelgroep;Aantal_woningen;Status;Termijn_project;Eigenaar_beheerder;Informatie;Webpagina;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Rode Kruislaan, Diemen";"Rode Kruislaan, Diemen";"Studenten";924;"Bestaand";"Permanent";"De Key ";"";"";"POINT(4.9693611,52.3426177)";"POINT(52.3426177,4.9693611)";4.9693611;52.3426177;
2;"De Feniks ";"James Wattstraat";"Studenten";342;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.9221809,52.3494231)";"POINT(52.3494231,4.9221809)";4.9221809;52.3494231;
3;"MyPlace";"Javaplein";"Studenten";172;"Bestaand";"Permanent";"Ymere";"";"";"POINT(4.9389341,52.3634802)";"POINT(52.3634802,4.9389341)";4.9389341;52.3634802;
4;"Meer en Vaart";"Meer en Vaart 352";"Studenten";395;"Bestaand";"Permanent";"";"";"";"POINT(4.8097231,52.3545653)";"POINT(52.3545653,4.8097231)";4.8097231;52.3545653;
5;"Bijltjespad/Kattenburgerstraat";"Bijltjespad/Kattenburgerstraat";"Studenten";280;"Bestaand";"Permanent";"De Key";"";"";"POINT(4.917197,52.3715026)";"POINT(52.3715026,4.917197)";4.917197;52.3715026;
7;"Weesperflat";"Weesperstraat";"Studenten";228;"Bestaand";"Permanent";"De Key";"";"";"POINT(4.9062941,52.3647315)";"POINT(52.3647315,4.9062941)";4.9062941;52.3647315;
11;"Zuiderzeeweg Oost";"Zuiderzeeweg 50";"Studenten";335;"Bestaand";"Tijdelijk";"De Key";"";"";"POINT(4.9652498,52.3707396)";"POINT(52.3707396,4.9652498)";4.9652498;52.3707396;
13;"Echtenstein";"";"Studenten";232;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.9626229,52.3245284)";"POINT(52.3245284,4.9626229)";4.9626229;52.3245284;
14;"Daalwijk";"Daalwijk";"Studenten";232;"Bestaand";"Permanent";"DUWO";"";"";"POINT(4.9506299,52.3212554)";"POINT(52.3212554,4.9506299)";4.9506299;52.3212554;
15;"Spinozacampus I";"Dennenrodenpad";"Studenten";700;"Bestaand";"Semipermanent";"DUWO";"";"";"POINT(4.9533579,52.321778)";"POINT(52.321778,4.9533579)";4.9533579;52.321778;
